timestamp, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%]
2026/09/24 19:53:54.388, 2190 MHz, [N/A], 26.87 W, 48, 68 %
2026/09/24 19:53:55.400, 2190 MHz, [N/A], 27.16 W, 48, 75 %
2026/09/24 19:53:56.400, 2190 MHz, [N/A], 27.43 W, 49, 73 %
2026/09/24 19:53:57.400, 2190 MHz, [N/A], 26.75 W, 49, 77 %
2026/09/24 19:53:58.400, 2190 MHz, [N/A], 26.68 W, 48, 83 %
2026/09/24 19:53:59.400, 2190 MHz, [N/A], 27.58 W, 49, 78 %
2026/09/24 19:54:00.401, 2190 MHz, [N/A], 27.30 W, 50, 69 %
2026/09/24 19:54:01.401, 2190 MHz, [N/A], 27.22 W, 50, 80 %
2026/09/24 19:54:02.402, 2190 MHz, [N/A], 27.57 W, 50, 77 %
2026/09/24 19:54:03.402, 2190 MHz, [N/A], 27.19 W, 50, 84 %
2026/09/24 19:54:04.402, 2190 MHz, [N/A], 27.36 W, 50, 80 %
2026/09/24 19:54:05.402, 2190 MHz, [N/A], 29.76 W, 49, 92 %
2026/09/24 19:54:06.403, 2190 MHz, [N/A], 26.88 W, 49, 84 %
2026/09/24 19:54:07.403, 2190 MHz, [N/A], 27.68 W, 51, 83 %
2026/09/24 19:54:08.403, 2190 MHz, [N/A], 26.98 W, 50, 79 %
2026/09/24 19:54:09.403, 2190 MHz, [N/A], 27.40 W, 51, 79 %
2026/09/24 19:54:10.403, 2190 MHz, [N/A], 27.12 W, 51, 82 %
2026/09/24 19:54:11.404, 2190 MHz, [N/A], 27.89 W, 51, 69 %
2026/09/24 19:54:12.404, 2190 MHz, [N/A], 27.54 W, 51, 82 %
2026/09/24 19:54:13.404, 2190 MHz, [N/A], 27.38 W, 51, 81 %
2026/09/24 19:54:14.404, 2190 MHz, [N/A], 28.33 W, 52, 83 %
2026/09/24 19:54:15.405, 2190 MHz, [N/A], 27.15 W, 52, 72 %
2026/09/24 19:54:16.405, 2190 MHz, [N/A], 27.79 W, 51, 72 %
2026/09/24 19:54:17.405, 2190 MHz, [N/A], 27.10 W, 52, 81 %
2026/09/24 19:54:18.405, 2190 MHz, [N/A], 27.60 W, 51, 84 %
2026/09/24 19:54:19.406, 2190 MHz, [N/A], 27.85 W, 52, 82 %
2026/09/24 19:54:20.406, 2190 MHz, [N/A], 28.19 W, 52, 75 %
2026/09/24 19:54:21.406, 2190 MHz, [N/A], 27.54 W, 52, 75 %
2026/09/24 19:54:22.407, 2190 MHz, [N/A], 31.30 W, 52, 93 %
2026/09/24 19:54:23.407, 2190 MHz, [N/A], 27.60 W, 53, 77 %
2026/09/24 19:54:24.407, 2190 MHz, [N/A], 28.36 W, 53, 86 %
