procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 BST
 6  0 6992948 5884780 1139436 19147636  437 2580 41331  3312 5778    3  2  2 96  1  0  0 2026-09-24 19:53:53
 3  0 6992948 5861284 1139448 19149660    0    0  2032   204 9818 8206 12  4 83  1  0  0 2026-09-24 19:53:54
 3  0 6992948 5872752 1139448 19151892    0    0  2116     0 7566 6361 11  4 85  1  0  0 2026-09-24 19:53:55
 3  0 6992948 5868720 1139448 19154276    4    0  2632     0 8847 7434 11  4 84  1  0  0 2026-09-24 19:53:56
 3  0 6992948 5855128 1139448 19156784    0    0  2268   252 7796 6680 11  4 85  1  0  0 2026-09-24 19:53:57
 3  0 6992948 5865536 1139448 19158324    0    0  1620     0 8899 7563 11  4 84  1  0  0 2026-09-24 19:53:58
 3  0 6992948 5870728 1139456 19160816   12    0  2420    88 7876 6872 11  3 85  1  0  0 2026-09-24 19:53:59
 3  0 6992948 5875716 1139456 19163032    0    0  2312     0 8696 7374 11  4 84  1  0  0 2026-09-24 19:54:00
 4  0 6992948 5825068 1139456 19165000    0    0  1872     0 12667 10407 12  5 83  1  0  0 2026-09-24 19:54:01
 5  0 6992948 5835508 1139456 19167328    4    0  2332     0 9241 7389 12  4 84  1  0  0 2026-09-24 19:54:02
 6  0 6992948 5840656 1139456 19169336    0    0  2008     0 7848 6326 11  4 85  1  0  0 2026-09-24 19:54:03
10  0 6992948 5829284 1139456 19169948    4    0   652    56 9008 9173 11  4 84  0  0  0 2026-09-24 19:54:04
 2  1 6992944 5831200 1139456 19172148    0    0  2156     0 8852 7385 11  4 85  1  0  0 2026-09-24 19:54:05
 5  0 6992944 5827340 1139456 19173760    0    0  1612     0 7961 6880 11  3 85  1  0  0 2026-09-24 19:54:06
 4  0 6992944 5833368 1139456 19176032    0    0  2272    12 8925 7419 11  4 84  1  0  0 2026-09-24 19:54:07
 4  0 6992944 5850640 1139456 19178680    0    0  2648     0 7887 7114 11  4 85  1  0  0 2026-09-24 19:54:08
 4  0 6992936 5832552 1139460 19180532   52    0  1924    64 9077 8142 11  4 84  1  0  0 2026-09-24 19:54:09
 4  0 6992936 5820116 1139476 19182404    0    0  1856   740 8233 6953 12  3 84  1  0  0 2026-09-24 19:54:10
 3  1 6992936 5835632 1139476 19184160    0    0  1852     0 9017 7568 12  4 84  1  0  0 2026-09-24 19:54:11
 5  0 6992936 5842924 1139476 19185572    0    0  1316     0 13865 11306 12  5 82  1  0  0 2026-09-24 19:54:12
 4  0 6992860 5817324 1139476 19187376  108    0  1908     0 9508 7780 12  4 84  1  0  0 2026-09-24 19:54:13
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 BST
 4  0 6992860 5825044 1139476 19190244    0    0  2868     0 7850 7117 11  3 85  1  0  0 2026-09-24 19:54:14
 4  0 6984604 5831804 1139480 19192224    0    0  2004   104 8992 7720 11  4 84  1  0  0 2026-09-24 19:54:15
 3  1 6984604 5874568 1139480 19194492    0    0  2304     0 7487 6544 11  4 85  1  0  0 2026-09-24 19:54:16
 4  0 6984604 5888496 1139480 19196956    4    0  2408    12 8932 7655 12  4 84  1  0  0 2026-09-24 19:54:17
 4  0 6984604 5891788 1139480 19198964    0    0  2008    20 7679 6559 11  3 85  1  0  0 2026-09-24 19:54:18
 4  0 6984604 5900996 1139480 19200620    0    0  1656     0 8705 7240 12  4 84  1  0  0 2026-09-24 19:54:19
 3  1 6984604 5892836 1139480 19202980    8    0  2484     0 7928 7136 11  4 85  1  0  0 2026-09-24 19:54:20
 4  0 6984604 5885484 1139488 19203412    4    0   316    80 9918 9220 12  4 84  0  0  0 2026-09-24 19:54:21
 4  0 6984604 5885424 1139488 19204968    0    0  1560     0 7461 6556 11  4 85  1  0  0 2026-09-24 19:54:22
