procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 BST
 5  0 4023240 2339240 115584 22986748  238 2764 28396  4937 4237    2  1  1 98  0  0  0 2026-09-24 19:53:54
 3  0 4023240 2322580 115584 22990640    0    0  3616     0 6829 5614 11  2 85  1  0  0 2026-09-24 19:53:55
 2  0 4023240 2321824 115592 22994056    0    0  3428    48 6480 5457 11  2 86  1  0  0 2026-09-24 19:53:56
 2  0 4023240 2320816 115592 22997844    0    0  4000     0 5531 5711  6  2 90  1  0  0 2026-09-24 19:53:57
 2  0 4023240 2318296 115592 23001884    0    0  3652     0 5369 5369  7  2 90  1  0  0 2026-09-24 19:53:58
 2  0 4023240 2317288 115592 23005192    0    0  3484     0 5147 5055  7  2 90  1  0  0 2026-09-24 19:53:59
 1  0 4023240 2315896 115592 23008232    0    0  3564     0 5558 5509  7  2 90  1  0  0 2026-09-24 19:54:00
 2  0 4023240 2314768 115596 23011808    0    0  3524 11788 5549 5524  6  2 90  1  0  0 2026-09-24 19:54:01
 0  2 4023240 2275456 115596 23016348    0    0  3956     4 14391 11348  8  4 87  1  0  0 2026-09-24 19:54:02
 2  0 4023240 2278048 115596 23019340    0    0  3468     0 5279 5068  7  2 90  1  0  0 2026-09-24 19:54:03
 2  0 4023240 2278980 115596 23022628    0    0  2628     0 6515 7639  6  2 91  1  0  0 2026-09-24 19:54:04
 2  0 4023240 2279096 115596 23024244    0    0  2472     0 5055 4830  7  2 90  1  0  0 2026-09-24 19:54:05
 2  0 4023240 2279712 115600 23028180    0    0  3080  4044 5610 5558  7  2 90  1  0  0 2026-09-24 19:54:06
 2  0 4023240 2280484 115600 23030940    0    0  3376     0 5250 4924  6  2 90  1  0  0 2026-09-24 19:54:07
 2  0 4023240 2278660 115600 23034916    0    0  3676     0 5338 5284  6  2 90  1  0  0 2026-09-24 19:54:08
 2  0 4023240 2279224 115600 23038216    0    0  3804     0 5294 5233  6  2 90  1  0  0 2026-09-24 19:54:09
 2  0 4023240 2279224 115600 23041612    0    0  2716    44 5065 4882  7  2 90  1  0  0 2026-09-24 19:54:10
 2  0 4023240 2279320 115600 23044016    0    0  3320     0 5136 4900  7  2 90  1  0  0 2026-09-24 19:54:11
 1  0 4023240 2274000 115608 23048380    0    0  3820    40 5295 5072  7  2 90  1  0  0 2026-09-24 19:54:12
 2  0 4023240 2263012 115608 23052136    0    0  3400     0 12510 9497  7  4 88  1  0  0 2026-09-24 19:54:13
 0  2 4023240 2263816 115608 23055256    0    0  3428     0 5398 5269  7  2 90  1  0  0 2026-09-24 19:54:14
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 BST
 3  0 4023240 2263476 115608 23059468    0    0  4124     0 5296 5216  6  2 90  1  0  0 2026-09-24 19:54:15
 2  0 4023240 2261772 115608 23062836    0    0  3412     0 5279 5359  7  2 90  1  0  0 2026-09-24 19:54:16
 2  0 4023240 2261404 115616 23066336    0    0  3748    32 5231 5313  7  2 90  1  0  0 2026-09-24 19:54:17
 2  0 4023240 2259436 115616 23070452    0    0  3676     8 5353 5392  7  2 90  1  0  0 2026-09-24 19:54:18
 2  0 4023240 2257672 115616 23073588    0    0  3640     0 5140 4898  6  2 90  1  0  0 2026-09-24 19:54:19
 0  1 4023240 2255656 115616 23077484    0    0  3752     0 5370 5141  7  2 90  1  0  0 2026-09-24 19:54:20
 2  0 4023240 2253388 115616 23080560    0    0  2580     0 7176 9121  6  2 90  1  0  0 2026-09-24 19:54:21
 2  0 4023240 2253388 115616 23081668    0    0  1612     8 5223 4986  7  2 90  1  0  0 2026-09-24 19:54:22
 2  0 4023240 2252380 115624 23085580    0    0  3776    52 5193 5039  7  2 90  1  0  0 2026-09-24 19:54:23
