2026/09/25 01:26:10.490, 2190 MHz, [N/A], 9.75 W, 0 %, 48, 0x0000000000000000
2026/09/25 01:26:11.003, 2190 MHz, [N/A], 9.75 W, 0 %, 48, 0x0000000000000000
2026/09/25 01:26:11.503, 2184 MHz, [N/A], 31.16 W, 89 %, 53, 0x0000000000000000
2026/09/25 01:26:12.004, 2184 MHz, [N/A], 31.84 W, 89 %, 51, 0x0000000000000000
2026/09/25 01:26:12.504, 2184 MHz, [N/A], 32.15 W, 90 %, 53, 0x0000000000000000
2026/09/25 01:26:13.004, 2184 MHz, [N/A], 31.86 W, 90 %, 54, 0x0000000000000000
2026/09/25 01:26:13.504, 2177 MHz, [N/A], 32.33 W, 90 %, 53, 0x0000000000000000
2026/09/25 01:26:14.005, 2177 MHz, [N/A], 32.56 W, 90 %, 53, 0x0000000000000000
2026/09/25 01:26:14.505, 2177 MHz, [N/A], 32.77 W, 90 %, 54, 0x0000000000000000
2026/09/25 01:26:15.005, 2177 MHz, [N/A], 32.56 W, 90 %, 54, 0x0000000000000000
2026/09/25 01:26:15.505, 2177 MHz, [N/A], 32.50 W, 85 %, 53, 0x0000000000000000
2026/09/25 01:26:16.006, 2177 MHz, [N/A], 32.48 W, 85 %, 54, 0x0000000000000000
2026/09/25 01:26:16.506, 2177 MHz, [N/A], 32.23 W, 89 %, 54, 0x0000000000000000
2026/09/25 01:26:17.006, 2177 MHz, [N/A], 32.57 W, 89 %, 55, 0x0000000000000000
2026/09/25 01:26:17.507, 2177 MHz, [N/A], 32.69 W, 83 %, 54, 0x0000000000000000
2026/09/25 01:26:18.007, 2177 MHz, [N/A], 32.98 W, 83 %, 55, 0x0000000000000000
2026/09/25 01:26:18.508, 2177 MHz, [N/A], 32.71 W, 83 %, 55, 0x0000000000000000
2026/09/25 01:26:19.008, 2177 MHz, [N/A], 32.65 W, 83 %, 55, 0x0000000000000000
2026/09/25 01:26:19.508, 2177 MHz, [N/A], 32.74 W, 87 %, 55, 0x0000000000000000
2026/09/25 01:26:20.008, 2177 MHz, [N/A], 32.66 W, 87 %, 54, 0x0000000000000000
2026/09/25 01:26:20.508, 2177 MHz, [N/A], 33.24 W, 87 %, 55, 0x0000000000000000
2026/09/25 01:26:21.009, 2177 MHz, [N/A], 33.16 W, 87 %, 55, 0x0000000000000000
2026/09/25 01:26:21.509, 2177 MHz, [N/A], 32.84 W, 83 %, 55, 0x0000000000000000
2026/09/25 01:26:22.009, 2177 MHz, [N/A], 33.23 W, 83 %, 56, 0x0000000000000000
2026/09/25 01:26:22.510, 2177 MHz, [N/A], 33.18 W, 86 %, 56, 0x0000000000000000
2026/09/25 01:26:23.010, 2177 MHz, [N/A], 32.96 W, 86 %, 55, 0x0000000000000000
2026/09/25 01:26:23.510, 2177 MHz, [N/A], 33.32 W, 90 %, 56, 0x0000000000000000
2026/09/25 01:26:24.011, 2177 MHz, [N/A], 33.14 W, 90 %, 56, 0x0000000000000000
2026/09/25 01:26:24.511, 2177 MHz, [N/A], 33.19 W, 85 %, 56, 0x0000000000000000
2026/09/25 01:26:25.011, 2177 MHz, [N/A], 33.23 W, 85 %, 57, 0x0000000000000000
2026/09/25 01:26:25.512, 2177 MHz, [N/A], 32.56 W, 77 %, 54, 0x0000000000000000
2026/09/25 01:26:26.012, 2177 MHz, [N/A], 32.62 W, 77 %, 57, 0x0000000000000000
2026/09/25 01:26:26.512, 2177 MHz, [N/A], 32.41 W, 68 %, 54, 0x0000000000000000
2026/09/25 01:26:27.012, 2184 MHz, [N/A], 33.97 W, 68 %, 56, 0x0000000000000000
2026/09/25 01:26:27.513, 2177 MHz, [N/A], 34.67 W, 91 %, 57, 0x0000000000000000
2026/09/25 01:26:28.013, 2177 MHz, [N/A], 32.60 W, 91 %, 56, 0x0000000000000000
