top - 01:26:30 up 5 days,  8:06, 59 users,  load average: 1.71, 1.82, 1.92
Tasks: 510 total,   3 running, 501 sleeping,   0 stopped,   6 zombie
%Cpu(s): 13.2 us,  4.3 sy,  0.0 ni, 82.1 id,  0.4 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem : 124610.1 total,  22069.9 free,  99987.5 used,   4265.2 buff/cache     
MiB Swap:  16384.0 total,   9707.7 free,   6676.3 used.  24622.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1041375 root      20   0 3015.2g   3.0g 770860 R 175.0   2.4  15:13.27 VLLM::Worker_TP
1041100 root      20   0   24.2g 712216  50856 R  91.7   0.6   2:55.78 VLLM::EngineCor
   2318 sfxnz     20   0 2179588  56552   9440 S  25.0   0.0 137:57.98 python
1039656 root      20   0   21.6g 640492  49728 S   8.3   0.5   0:15.59 vllm
1094859 sfxnz     20   0    8772   4812   2736 R   8.3   0.0   0:00.02 top
1094861 sfxnz     20   0  189188  20516   5472 S   8.3   0.0   0:00.01 nvidia-smi
      1 root      20   0   24028  10372   5840 S   0.0   0.0  13:42.86 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:01.51 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_workqueue_release
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-rcu_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-sync_wq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-kvfree_rcu_reclaim
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-slub_flushwq
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-netns
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/R-mm_percpu_wq
     14 root      20   0       0      0      0 S   0.0   0.0   0:09.33 ksoftirqd/0
     15 root      20   0       0      0      0 I   0.0   0.0   7:41.69 rcu_preempt
